title,max_players,genres,publisher,review_score,sales,price,console,age_rating,year,average_length
Sonic and the Secret Rings,4,Action,Sega,69,1.08,16.95,Nintendo Wii,E,2007,9.65
Fight Night Round 3,2,"Action,Simulation,Sports",EA,74,0.48,16.95,Sony PSP,T,2006,11.1833333333333
Beautiful Katamari,1,Action,Namco,73,0.11,17.95,X360,M,2007,14.55
Genji: Days of the Blade,1,"Action,Role-Playing (RPG)",Sony,55,0.17,14.95,PlayStation 3,T,2006,13.3333333333333
Tom Clancy's Splinter Cell: Double Agent,1,Action,Ubisoft,85,0.67,17.95,X360,E,2006,12.4166666666667
Nanostray 2,1,Action,,75,0.04,12.95,Nintendo DS,M,2008,3
Ace Combat 6: Fires of Liberation,1,"Action,Simulation",Namco,80,0.58,19.95,X360,E,2007,13.45
Kameo: Elements of Power,1,Action,Microsoft,79,0.31,11.95,X360,T,2005,10.0333333333333
Tetris Party,4,Strategy,,75,0.16,24.95,Nintendo Wii,T,2008,2
Ratatouille,4,Action,THQ,56,0.22,16.95,X360,T,2007,13.2
Puyo Pop Fever,1,"Action,Strategy",Sega,76,0.04,19.95,Nintendo DS,E,2004,2.5
Cooking Mama,1,Simulation,,67,2.9,17.95,Nintendo DS,M,2006,8.63333333333333
Universe at War: Earth Assault,1,"Action,Strategy",Sega,66,0.07,14.95,X360,T,2008,16
Fracture,1,Action,,63,0.13,14.95,X360,T,2008,7.9
Crash of the Titans,2,Action,,65,0.29,17.95,X360,E,2007,7.75
Valkyrie Profile: Lenneth,1,Role-Playing (RPG),SquareEnix,80,0.16,22.95,Sony PSP,E,2006,37.5
Sonic Unleashed,1,"Action,Adventure",Sega,60,0.41,17.95,X360,E,2008,13.15
Transformers: The Game,1,Action,Activision,53,0.35,17.95,Nintendo Wii,T,2007,7.23333333333333
NBA Live 06,1,Sports,EA,80,0.42,9.95,Sony PSP,E,2005,4
Call of Duty 4: Modern Warfare,1,Action,Activision,75,0.94,19.95,Nintendo DS,T,2007,8.01666666666667
Secret Agent Clank,1,Action,Sony,72,0.05,23.95,Sony PSP,M,2008,7.76666666666667
Front Mission,1,Strategy,SquareEnix,72,0.01,17.95,Nintendo DS,E,2007,20.8666666666667
Dead Rising,1,Action,Capcom,85,1.16,16.95,X360,E,2006,19.2333333333333
Metal Gear Ac!d,1,Strategy,Konami,75,0.34,17.95,Sony PSP,E,2004,25.3833333333333
Need for Speed: Carbon,2,Racing / Driving,EA,67,0.47,17.95,Nintendo Wii,M,2006,13.3
Haze,2,Action,Ubisoft,55,0.49,12.95,PlayStation 3,T,2008,7.65
Looney Tunes: Cartoon Conductor,1,Action,Eidos,67,0.04,13.95,Nintendo DS,M,2008,4.75
SpongeBob SquarePants: The Yellow Avenger,1,Action,THQ,67,0.31,13.95,Nintendo DS,E,2005,11.85
Pro Evolution Soccer 2008,2,Sports,Konami,83,0.1,17.95,Nintendo Wii,T,2008,63.8
Insecticide,1,"Action,Adventure",,55,0.04,12.95,Nintendo DS,T,2008,3.56666666666667
Golden Axe,2,Action,Sega,45,0.15,14.95,X360,M,2007,1.18333333333333
Tony Hawk's Project 8,2,Sports,Activision,81,0.42,16.95,X360,E,2006,17.1666666666667
Dragon Ball: Origins,1,"Action,Adventure",Atari,78,0.08,15.95,Nintendo DS,M,2008,11.5
Riviera: The Promised Land,1,Role-Playing (RPG),,68,0.07,17.95,Sony PSP,M,2006,24.3166666666667
Dragon Quest Heroes: Rocket Slime,1,Action,SquareEnix,83,0.13,12.95,Nintendo DS,T,2005,15.1
Call of Duty 4: Modern Warfare,4,Action,Activision,94,2.91,24.95,PlayStation 3,E,2007,8.01666666666667
The Legend of Kage 2,1,Action,SquareEnix,70,0.03,14.95,Nintendo DS,E,2008,3.33333333333333
Spider-Man: Web of Shadows,1,Action,Activision,77,0.09,15.95,Nintendo DS,E,2008,12.5666666666667
LEGO Star Wars: The Complete Saga,2,Action,,80,3.03,17.95,Nintendo Wii,M,2007,24.8833333333333
Elite Beat Agents,1,Action,Nintendo,87,0.27,9.95,Nintendo DS,M,2006,10.2666666666667
Burnout Legends,1,"Action,Racing / Driving",EA,86,0.68,14.95,Sony PSP,T,2005,12.8333333333333
Madden NFL 06,1,Sports,EA,75,0.75,7.95,Sony PSP,E,2005,3.75
Puzzle Quest: Challenge of the Warlords,1,"Role-Playing (RPG),Strategy",,82,0.3,17.95,Nintendo DS,E,2007,41.1666666666667
Two Worlds,1,"Action,Role-Playing (RPG)",,50,0.43,14.95,X360,M,2007,32.7
Silent Hill: Homecoming,1,Action,Konami,71,0.16,17.95,PlayStation 3,E,2008,10.1333333333333
Order Up!,1,"Action,Simulation",,76,0.18,17.95,Nintendo Wii,T,2008,6.63333333333333
Tomb Raider: Underworld,1,Action,Eidos,75,0.44,17.95,PlayStation 3,T,2008,11.5166666666667
NHL 08 ,1,Sports,EA,85,0.22,9.95,X360,E,2007,17.5
Nanostray,1,Action,THQ,71,0.06,17.95,Nintendo DS,E,2005,1.43333333333333
Guitar Hero: Aerosmith,2,"Action,Simulation",Activision,70,0.91,9.95,X360,E,2008,11.3
Touch Detective,1,Adventure,,60,0.07,14.95,Nintendo DS,T,2006,6.9
Orcs & Elves,1,"Action,Role-Playing (RPG)",EA,68,0.03,14.95,Nintendo DS,T,2007,4.88333333333333
